Id,Label,date,lat,long,name,node_class,site_class
10404,Celanese Fiber Company,1/10/96,34.27222,-85.1675,Celanese Fiber Company,Site,RP
10405,"AMC International, Inc.",1/3/96,34.70778,-84.955,"AMC International, Inc.",Site,RP
10406,"McKenzie Tank Lines, Inc.",1/5/96,32.13778,-81.15278,"McKenzie Tank Lines, Inc.",Site,RP
10422,Stephenson Chemical Company,9/12/96,33.62917,-84.46917,Stephenson Chemical Company,Site,A
10426,Hoxsie's Cleaners (Former),12/20/96,32.07167,-84.23222,Hoxsie's Cleaners (Former),Site,A
10427,Vulcan Performance Chemicals (Former),11/15/96,33.81917,-84.50167,Vulcan Performance Chemicals (Former),Site,RP
10428,Home Oil,1/24/97,31.37778,-84.945,Home Oil,Site,RP
10429,ARAMARK Uniform Services,1/24/97,30.84889,-83.99167,ARAMARK Uniform Services,Site,RP
10430,Rental Uniform Service of Griffin,3/19/97,33.22528,-84.27917,Rental Uniform Service of Griffin,Site,RP
10437,"GIW Industries, Inc.",2/10/97,33.45694,-82.18806,"GIW Industries, Inc.",Site,RP
10438,Jones County Municipal Solid Waste Landfill,3/27/97,32.98333,-83.53417,Jones County Municipal Solid Waste Landfill,Site,L
10440,Blue Ribbon Dry Cleaners,3/3/97,32.05861,-81.10444,Blue Ribbon Dry Cleaners,Site,RP
10441,Cascade Springs Dry Cleaner,4/2/97,33.72167,-84.50639,Cascade Springs Dry Cleaner,Site,A
10443,Mindis Recycling-Shredding Division,6/15/98,33.80889,-84.46333,Mindis Recycling-Shredding Division,Site,RP
10445,White County - Duke's Creek MSW  Landfill,3/27/97,34.66972,-83.76083,White County - Duke's Creek MSW  Landfill,Site,L
10446,Macon County SR 49 North MSWL,3/27/97,32.36472,-84.01944,Macon County SR 49 North MSWL,Site,L
10447,Dougherty Co. - Fleming Rd. MSW Landfill,3/27/97,31.53278,-84.02833,Dougherty Co. - Fleming Rd. MSW Landfill,Site,L
10448,Spalding County - Yamacraw Road MSWL,3/27/97,33.2575,-84.15944,Spalding County - Yamacraw Road MSWL,Site,L
10449,Griffin - Shoal Creek Road Landfill,3/27/97,33.25278,-84.37583,Griffin - Shoal Creek Road Landfill,Site,L
10450,Burke County Landfill,3/27/97,33.08,-81.96528,Burke County Landfill,Site,L
10451,Fayette County - 1st Manassas Mile Road MSWLF,3/27/97,33.43833,-84.47667,Fayette County - 1st Manassas Mile Road MSWLF,Site,L
10452,"Colquitt Co. - CR 15, Sunset, Phase I MSWLF",3/27/97,31.09111,-83.84528,"Colquitt Co. - CR 15, Sunset, Phase I MSWLF",Site,L
10453,Lowndes County-State Road 31 MSWL,3/27/97,30.67639,-83.3225,Lowndes County-State Road 31 MSWL,Site,L
10454,Chattooga County - Penn Bridge Rd Ph 1 (SL) MSWL,3/27/97,34.50583,-85.29639,Chattooga County - Penn Bridge Rd Ph 1 (SL) MSWL,Site,L
10455,"Washington County Landfill-Kaolin Road, Site #2",3/27/97,32.95583,-82.83528,"Washington County Landfill-Kaolin Road, Site #2",Site,L
10456,Barnesville-Goggins Road MSWL,3/27/97,33.06583,-84.13778,Barnesville-Goggins Road MSWL,Site,L
10457,Houser's Mill Road MSWLF,3/27/97,32.57167,-83.76056,Houser's Mill Road MSWLF,Site,L
10458,Habersham County Pea Ridge Road Landfill,3/27/97,34.52583,-83.58833,Habersham County Pea Ridge Road Landfill,Site,L
10459,Seaboard Industrial Blvd. Site,3/14/97,33.80833,-84.43167,Seaboard Industrial Blvd. Site,Site,RP
10460,"Ware County-US 82, Waresboro MSWL",3/27/97,31.27111,-82.46972,"Ware County-US 82, Waresboro MSWL",Site,L
10461,"Stephens County SR 145, Phases 2 & 3 MSWL",3/27/97,34.54028,-83.30917,"Stephens County SR 145, Phases 2 & 3 MSWL",Site,L
10462,Wilkes County-CR 40 MSWL,3/27/97,33.69528,-82.73778,Wilkes County-CR 40 MSWL,Site,L
10464,Vopak Terminal Savannah,4/22/97,32.11667,-81.13333,Vopak Terminal Savannah,Site,RP
10466,"Baychem, Inc.",6/13/97,34.04028,-84.61417,"Baychem, Inc.",Site,RP
10467,Bleckley County Municipal Landfill,4/28/97,32.42139,-83.30944,Bleckley County Municipal Landfill,Site,L
10472,Parker Hannifin Corp./Abex NWL Div.,7/25/97,32.51639,-82.94444,Parker Hannifin Corp./Abex NWL Div.,Site,RP
10474,Bekaert Corporation,7/25/97,34.22,-85.17028,Bekaert Corporation,Site,RP
10475,LaGrange - Municipal Solid Waste Landfill,7/30/97,33.0475,-84.95583,LaGrange - Municipal Solid Waste Landfill,Site,L
10476,Calhoun - Harris Rd. Phase 4 (L),7/30/97,34.49167,-84.99361,Calhoun - Harris Rd. Phase 4 (L),Site,L
10477,Ocilla - SR 32 East MSWL,7/30/97,31.59694,-83.14,Ocilla - SR 32 East MSWL,Site,L
10478,Heard Co. - Frolona Rd. MSWL,6/24/97,33.30139,-85.17722,Heard Co. - Frolona Rd. MSWL,Site,L
10479,Greene County - US 278 West MSWL,7/30/97,33.61417,-83.10222,Greene County - US 278 West MSWL,Site,L
10480,"Jackson County - SR 82 North, Phase II MSWL",7/30/97,34.145,-83.55056,"Jackson County - SR 82 North, Phase II MSWL",Site,L
10481,"Arch Wood Protection, Inc. (fka Hickson Corporation)",6/30/97,33.66139,-84.32639,"Arch Wood Protection, Inc. (fka Hickson Corporation)",Site,RP
10482,Rockyface-Westside Municipal Solid Waste Landfill,7/30/97,34.75,-85.04694,Rockyface-Westside Municipal Solid Waste Landfill,Site,L
10484,Rabun Co. - Eastman Mountain Road Landfill,7/30/97,34.80972,-83.40972,Rabun Co. - Eastman Mountain Road Landfill,Site,L
10485,"Forsyth, Old Brent Rd. MSWL",7/30/97,33.01861,-83.95611,"Forsyth, Old Brent Rd. MSWL",Site,L
10486,Orkin Pest Control,7/31/97,32.46278,-84.93,Orkin Pest Control,Site,RP
10490,Lumpkin Co. - Barlow  Rd. MSWL,8/14/97,34.52444,-83.99917,Lumpkin Co. - Barlow  Rd. MSWL,Site,L
10494,Ruby Quarry Asphalt Plant Site,12/8/97,32.92361,-83.49556,Ruby Quarry Asphalt Plant Site,Site,RP
10495,5998  Fairburn Road - Dry Cleaners,1/8/98,33.75083,-84.72944,5998  Fairburn Road - Dry Cleaners,Site,A
10497,Savannah Dry Cleaners,2/5/98,32.03694,-81.08972,Savannah Dry Cleaners,Site,A
10498,General Chemical Corporation,2/20/98,33.67083,-84.43583,General Chemical Corporation,Site,RP
10499,Eagle Rockbridge Shopping Center,3/10/98,33.7875,-84.21139,Eagle Rockbridge Shopping Center,Site,RP
10502,Transco Railcar Facility (Former),3/19/98,32.82611,-83.6275,Transco Railcar Facility (Former),Site,RP
10505,Station at Vinings (The),4/17/98,33.86556,-84.46972,Station at Vinings (The),Site,RP
10508,Aladdin Cleaners,7/27/98,33.98833,-84.53194,Aladdin Cleaners,Site,A
10510,"Star Laundry, Inc. (Fabracare)",7/30/98,32.5525,-83.88778,"Star Laundry, Inc. (Fabracare)",Site,RP
10511,Macon MGP Site,7/24/98,32.83444,-83.62056,Macon MGP Site,Site,RP
10513,Circle K Store #5259,9/18/98,33.96472,-84.41472,Circle K Store #5259,Site,RP
